parlamentarier_anzeige_name	parlamentarier_id	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei_de	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	zutrittsberechtigung_id	zutrittsberechtigung_funktion	zutrittsberechtigung_funktion_fr	zutrittsberechtigung_von	zutrittsberechtigung_bis	person_id	person_nachname	person_vorname	person_zweiter_vorname	person_namensunterscheidung	person_beschreibung_de	person_beschreibung_fr	person_beruf	person_beruf_fr	person_beruf_interessengruppe_id	person_partei_id	person_geschlecht	person_arbeitssprache	person_homepage	person_twitter_name	person_linkedin_profil_url	person_xing_profil_name	person_facebook_name
"Chevalley, Isabelle"	67	"NR"	"VD"	"GLP"	"GL"	"UREK-NR, WBK-NR"	2011-12-05		"F"	1972-04-13	4108	3604	"fr"	"fr"	566	"cR Kommunikation AG"		2015-12-15		269	"Frey"	"Timotheos ""Tim"""					"Senior Berater"		18	22	"M"	"de"	"https://timfrey.wordpress.com/"	"timfrit"	"https://ch.linkedin.com/in/tim-frey"	"Timotheos_Frey"	"tim.frey"
"Chiesa, Marco"	275	"SR"	"TI"	"SVP"	"V"	"APK-SR, Del I-V, GPK-SR, OSZE, RedK-V, SPK-SR"	2015-11-30		"M"	1974-10-10	4159	3067	"it"	"fr"	1175	"Ordine dei Medici del Canton Ticino"		2020-02-09		508	"Denti"	"Franco"	"Eugenio"				"Arzt"	"Médecin"	4	4	"M"	"it"	"http://francodenti.ch/"	"denti_franco"	"https://www.linkedin.com/in/franco-denti-91238342"		"profile.php?id=100009238871731"
"Chiesa, Marco"	275	"SR"	"TI"	"SVP"	"V"	"APK-SR, Del I-V, GPK-SR, OSZE, RedK-V, SPK-SR"	2015-11-30		"M"	1974-10-10	4159	3067	"it"	"fr"	1176	"Ospite"		2020-02-09		667	"Margaroli"	"Milco"					"Pastore, Infermiere psichiatrico"		103		"M"	"fr"	"http://www.demiap.ch"		"https://www.linkedin.com/in/milco-margaroli-53ba0583/"		"milco.margaroli"
"Christ, Katja"	369	"NR"	"BS"	"GLP"	"GL"	"GPK-NR, KVF-NR"	2019-12-01		"F"	1972-08-01	4252	3144	"de"	"de"	1252	"CEO Swisspower AG"		2020-12-19		35	"Kaufmann"	"Ronny"			"CEO Swisspower"		"Geschäftsführer (lic.rer.publ. HSG)"	"Directeur"	29		"M"	"de"	"https://www.post.ch/post-startseite/post-konzern/post-konzern-uebersicht/post-politik-internationales/post-politik-wirtschaft-kontakt.htm"	"KaufmannRonny"		"Ronny Kaufmann"	
"Christ, Katja"	369	"NR"	"BS"	"GLP"	"GL"	"GPK-NR, KVF-NR"	2019-12-01		"F"	1972-08-01	4252	3144	"de"	"de"	1279	"Gast"		2021-05-21																			
"Clivaz, Christophe"	383	"NR"	"VS"	"Grüne"	"G"	"UREK-NR"	2019-10-20		"M"	1969-01-07	4253	3145	"fr"	"fr"	1294	"BirdLife Suisse"		2021-10-03		964	"Turrian"	"François"			"BirdLife Schweiz"	"BirdLife Suisse"	"Direktor für die Westschweiz bei BirdLife Schweiz"	"Directeur romand chez BirdLife Suisse"	54		"M"	"fr"			"https://www.linkedin.com/in/françois-turrian-66154769/"		"profile.php?id=1850514725"
"Cottier, Damien"	388	"NR"	"NE"	"FDP"	"RL"	"ERD-V, RedK-V, SPK-NR"	2019-10-20		"M"	1975-04-03	4254	3146	"fr"	"fr"	1030	"Collaborateur(rice) personnel(le)"		2019-12-03		801	"Aubert"	"Jules"			"Collaborateur(rice) personnel(le)"		"Student Rechtswissenschaft"	"Etudiant en droit"	41	1	"M"	"fr"	"https://jlrn.ch/comites/jules-aubert/"	"JulesAubert"			"jules.aubert918"
"Crottaz, Brigitte"	330	"NR"	"VD"	"SP"	"S"	"APK-NR, Del F-V"	2018-02-26		"F"	1957-10-06	4219	3120	"fr"	"fr"	891	"Procap Suisse"		2018-06-01		69	"Fischer"	"Alex"			"Procap Schweiz"		"Leiter Sozialpolitik Procap Schweiz/Inhaber Fischer Public Aﬀairs and Public Interest"	"Responsable Politique sociale Procap Suisse/Propriétaire Fischer Public Aﬀairs and Public Interest"	12		"M"	"de"	"https://www.procap.ch"		"https://www.linkedin.com/in/alex-fischer-59546b4/"		"alex.fischer.758737"
"Crottaz, Brigitte"	330	"NR"	"VD"	"SP"	"S"	"APK-NR, Del F-V"	2018-02-26		"F"	1957-10-06	4219	3120	"fr"	"fr"	917	"furrerhugi AG et Fédération suisse des patients"		2018-12-21		709	"Zurich"	"Simon"			"furrerhugi AG et Fédération suisse des patients"		"Berater furrerhugi"		18	3	"M"	"fr"		"simonzurich"	"https://www.linkedin.com/in/zurich-simon-5769128b/?originalSubdomain=ch"		
"Dandrès, Christian"	389	"NR"	"GE"	"SP"	"S"	"RedK-V, RK-NR"	2019-10-20		"M"	1981-02-13	4255	3147	"fr"	"fr"	1196	"Plateforme des ONG suisses pour les droits humains"		2020-03-06		886	"Hui"	"Matthias"			"NGO-Plattform Menschenrechte Schweiz (Koordinator)"	"Plateforme des ONG suisses pour les droits humains"	"Menschenrechtsexperte/Mitarbeiter humanrights.ch"	"Collaborateur Humanrights.ch"	71		"M"	"de"	"https://www.humanrights.ch"	"matthias_hui"			
"Dandrès, Christian"	389	"NR"	"GE"	"SP"	"S"	"RedK-V, RK-NR"	2019-10-20		"M"	1981-02-13	4255	3147	"fr"	"fr"	1224	"Collaborateur(rice) personnel(le)"		2020-08-30																			
"de Courten, Thomas"	6	"NR"	"BL"	"SVP"	"V"	"GPK-NR, IK-NR, SGK-NR"	2011-12-05		"M"	1966-07-29	4051	2757	"de"	"de"	661	"Schweizerischer Gewerbeverband"		2016-01-21		353	"Gfeller"	"Kurt"			"Schweizerischer Gewerbeverband (SGV)"		"Vize-Direktor Schweizerischer Gewerbeverband (SGV)"	"Vice-Directeur Union suisse des arts et métiers (usam)"	59		"M"	"de"					
"de Courten, Thomas"	6	"NR"	"BL"	"SVP"	"V"	"GPK-NR, IK-NR, SGK-NR"	2011-12-05		"M"	1966-07-29	4051	2757	"de"	"de"	767	"Intergenerika"		2016-10-05		619	"Müller"	"Axel"					"Geschäftsführer Intergenerika"	"Directeur Intergenerika"	1		"M"	"de"	"http://intergenerika.ch/geschaeftsstelle/"	"intergenerika"	"https://www.linkedin.com/in/dr-axel-b-müller-879b446a"		
"de la Reussille, Denis"	276	"NR"	"NE"	"PdA"	"G"	"APK-NR"	2015-11-30		"M"	1960-10-24	4201	3068	"fr"	"fr"																							
"de Montmollin, Simone"	390	"NR"	"GE"	"FDP"	"RL"	"Del F-V, WBK-NR"	2019-10-20		"F"	1968-07-20	4256	3148	"fr"	"fr"																							
"de Quattro, Jacqueline"	392	"NR"	"VD"	"FDP"	"RL"	"IK-NR, SiK-NR"	2019-10-20		"F"	1960-06-24	4257	3149	"fr"	"fr"	1031	"Invité(e)"		2019-12-03		802	"Mark"	"Olivier"			"Invité(e)"		"Unabhängiger Betriebswirtschaftler, Olivier Mark Management"	"Economiste d'entreprise indépendant, Olivier Mark Management"	18		"M"	"fr"	"https://oliviermark.ch/"		"https://www.linkedin.com/in/olivier-mark-b72bbb11/"		"olivier.mark"
"de Quattro, Jacqueline"	392	"NR"	"VD"	"FDP"	"RL"	"IK-NR, SiK-NR"	2019-10-20		"F"	1960-06-24	4257	3149	"fr"	"fr"	1032	"Collaborateur(rice) personnel(le)"		2019-12-03		803	"Dousse"	"Anne"			"Collaboratrice personnelle"		"Persönliche Mitarbeiterin Nationalrätin Jacqueline de Quattro"	"Collaboratrice personnelle de la conseillère nationale Jacqueline de Quattro"	35		"F"	"fr"			"https://www.linkedin.com/in/anne-dousse-2120503a/"		
"Dettling, Marcel"	277	"NR"	"SZ"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1981-02-01	4160	3069	"de"	"de"	571	"Gast"				510	"Lienert"	"Monika"					"Gemeinderätin"	"Conseillère communale"	106	5	"F"	"de"					"monika.moserlienert"
"Dettling, Marcel"	277	"NR"	"SZ"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1981-02-01	4160	3069	"de"	"de"	1033	"Gast"		2019-12-03		804	"Hohl"	"Hanspeter"			"Gast"		"Gemeindevizepräsident Unteriberg"	"Viceprésident de la commune d'Unteriberg"	106	5	"M"	"de"			"https://www.linkedin.com/in/hanspeter-hohl-36757392"		
"Dittli, Josef"	315	"SR"	"UR"	"FDP"	"RL"	"KVF-SR, NATO-V, OSZE, SGK-SR, SiK-SR"	2015-11-30		"M"	1957-04-11	4151	3052	"de"	"de"	646	"dynamicsgroup"		2015-12-15		384	"Egle"	"Franz"					"Lobbyist, PR-Berater"	"Lobbyiste, Consultant RP"	18		"M"	"de"	"https://www.dynamicsgroup.ch"		"https://www.linkedin.com/in/franz-egle-12b70674"	"Franz_Egle3"	"Franz_Egle3"
"Dittli, Josef"	315	"SR"	"UR"	"FDP"	"RL"	"KVF-SR, NATO-V, OSZE, SGK-SR, SiK-SR"	2015-11-30		"M"	1957-04-11	4151	3052	"de"	"de"	645	"Verband der verladenden Wirtschaft"		2015-12-15		549	"Furrer"	"Frank"					"Rechts- und Wirtschaftsberater, Generalsekretär Cargorail"	"Consultant juridique et économique, Secrétaire général Cargorail"	36		"M"	"de"	"https://www.cargorail.ch"				
"Dobler, Marcel"	278	"NR"	"SG"	"FDP"	"RL"	"SGK-NR"	2015-11-30		"M"	1980-08-29	4190	3070	"de"	"de"																							
"Egger, Kurt"	375	"NR"	"TG"	"Grüne"	"G"	"BeK-V, UREK-NR"	2019-12-01		"M"	1956-01-19	4258	3150	"de"	"de"	1197	"Swissolar"		2020-03-06		84	"Stickelberger"	"David"			"Swissolar"		"Geschäftsleiter und Leiter Kommunikation bei Swissolar"	"Directeur et responsable de la communication chez Swissolar"	32		"M"	"de"	"https://www.swissolar.ch/fr/a-propos-de-swissolar/equipe/"	"DStickelberger"	"https://www.linkedin.com/in/david-stickelberger-40a6306/"	"David_Stickelberger/cv"	"david.stickelberger"
"Egger, Kurt"	375	"NR"	"TG"	"Grüne"	"G"	"BeK-V, UREK-NR"	2019-12-01		"M"	1956-01-19	4258	3150	"de"	"de"	1140	"Schweizer Heimatschutz"		2020-02-09		390	"Kunz"	"Stefan"			"Schweizer Heimatschutz"		"Geschäftsführer Schweizer Heimatschutz"	"Directeur Patrimoine Suisse"	44		"M"	"de"	"http://www.heimatschutz.ch/index.php?id=749"		"https://www.linkedin.com/in/stefan-kunz-2240327a/?originalSubdomain=ch"		"stefan.kunz.735"
"Egger, Mike"	341	"NR"	"SG"	"SVP"	"V"	"FK-NR, UREK-NR"	2019-03-04		"M"	1992-08-02	4229	3130	"de"	"de"																							
"Engler, Stefan"	223	"SR"	"GR"	"M"	"M-E"	"KVF-SR, RK-SR, SPK-SR, WAK-SR"	2011-12-05		"M"	1960-05-30	4055	2768	"rm"	"de"																							
"Estermann, Yvette"	75	"NR"	"LU"	"SVP"	"V"	"APK-NR, Bü-NR, GPK-NR"	2007-12-03		"F"	1967-02-26	3876	2679	"sk"	"de"																							
"Ettlin, Erich"	316	"SR"	"OW"	"M"	"M-E"	"FK-SR, RedK-V, SGK-SR, WAK-SR"	2015-11-30		"M"	1962-05-30	4206	3107	"de"	"de"	687	"Raiffeisen Schweiz"		2016-03-01		573	"Gernet"	"Hilmar"					"Leiter Kommunikation & Politik Raiffeisen"	"Chef de communication et politique Raiffeisen"	16	22	"M"	"de"					
"Ettlin, Erich"	316	"SR"	"OW"	"M"	"M-E"	"FK-SR, RedK-V, SGK-SR, WAK-SR"	2015-11-30		"M"	1962-05-30	4206	3107	"de"	"de"	688	"Persönlicher Mitarbeiter"	"Collaborateur personnel"	2016-03-01		574	"Rohrer"	"Dominik"					"Unternehmensberater in der Energiewirtschaft"	"Consultant dans le secteur de l'énergie"	29	22	"M"	"de"		"RohrerDominik"		"Dominik_Rohrer"	
"Eymann, Christoph"	279	"NR"	"BS"	"LDP"	"RL"	"RK-NR, WBK-NR"	1991-11-25		"M"	1951-01-15	74	2287	"de"	"de"	674	"Gast"	"Collaborateur personnel"	2016-03-01		564	"Thiriet"	"Simon"					"Leiter Kommunikation Erziehungsdepartement des Kantons Basel-Stadt"		13		"M"	"de"		"simonthiriet"	"https://www.linkedin.com/in/simon-thiriet-1ab01b84?authType=NAME_SEARCH&authToken=s-6o&locale=de_DE&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A298638419%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1456993634021%2Ctas%3ASimon%20t"		"simon.thiriet.1"
"Eymann, Christoph"	279	"NR"	"BS"	"LDP"	"RL"	"RK-NR, WBK-NR"	1991-11-25		"M"	1951-01-15	74	2287	"de"	"de"	675	"Gast"		2016-03-01		565	"Keller"	"Gottlieb"	"Andrea"				"Pensioniert, Ex-Mitglied Konzernleitung und ehem. General Counsel F. Hoffmann-La Roche AG"	"Retraité, ex-membre de la direction et ancien General Counsel F. Hoffmann-La Roche AG"	1		"M"	"de"					
"Farinelli, Alex"	393	"NR"	"TI"	"FDP"	"RL"	"FK-NR"	2019-10-20		"M"	1981-12-16	4259	3151	"it"	"de"																							
"Fässler, Daniel"	76	"SR"	"AI"	"M"	"M-E"	"BeK-V, Del I-V, GPK-SR, OSZE, SPK-SR, UREK-SR"	2011-12-05		"M"	1960-08-22	4056	2767	"de"	"de"	437	"Gast"				447	"Fässler-Eiermann"	"Helen"			"Gast"		"Gastronomin"	"Gastronome"	60		"F"	"de"	"https://lokal-appenzell.ch/"				
"Fehlmann Rielle, Laurence"	280	"NR"	"GE"	"SP"	"S"	"IK-NR, IPU, RK-NR"	2015-11-30		"F"	1955-09-11	4195	3071	"fr"	"fr"	672	"GREA-Groupement Romand d'Etudes des Addictions"		2016-02-29		266	"Savary"	"Jean-Félix"			"Groupement Romand d'Etudes des Addictions (Grea)"		"Generalsekretär Grea"	"Secretaire général Grea"	3		"M"	"fr"	"http://www.grea.ch"		"https://www.linkedin.com/in/jean-felix-savary-670b754/"		
"Fehlmann Rielle, Laurence"	280	"NR"	"GE"	"SP"	"S"	"IK-NR, IPU, RK-NR"	2015-11-30		"F"	1955-09-11	4195	3071	"fr"	"fr"	1034	"ellips public affairs & consulting"		2019-12-03		659	"Tomisawa"	"Sacra"					"Beraterin Public Affairs"	"Conseillère aux affaires publiques"	18	3	"F"	"fr"	"https://www.ellips.ch"	"TomiBern"	"https://www.linkedin.com/in/sacra-tomisawa-schumacher-72a8191"		"sacra.tomisawa"
"Feller, Olivier"	79	"NR"	"VD"	"FDP"	"RL"	"FK-NR"	2011-12-05		"M"	1974-08-30	4077	2789	"fr"	"fr"																							
"Feri, Yvonne"	80	"NR"	"AG"	"SP"	"S"	"GPDel-V, GPK-NR, SGK-NR"	2011-12-05		"F"	1966-03-21	4069	2777	"de"	"de"	1035	"Bereichsleiterin Sozialpolitik und Interessenvertretung AGIL"		2019-12-03		805	"Hanhart"	"Judith"	"Lisa"				"Fachmitarbeiterin FERI Mit-Wirkung"	"Collaboratrice spécialisée FERI Mit-Wirkung"	74		"F"	"de"			"https://www.linkedin.com/in/judith-hanhart-550b77185?originalSubdomain=ch"		
"Feri, Yvonne"	80	"NR"	"AG"	"SP"	"S"	"GPDel-V, GPK-NR, SGK-NR"	2011-12-05		"F"	1966-03-21	4069	2777	"de"	"de"	1248	"Caritas"		2020-11-14		927	"Lustenberger"	"Andreas"			"Caritas Schweiz"		"Leiter Politik & Public Affairs und Delegierter der Geschäftsleitung, Geograph Bsc"		25	4	"M"	"de"	"https://www.andreaslustenberger.ch"		"https://www.linkedin.com/in/andreas-lustenberger-38a85a93/"		
"Fiala, Doris"	81	"NR"	"ZH"	"FDP"	"RL"	"Del D-V, SiK-NR"	2007-12-03		"F"	1957-01-29	3877	2680	"de"	"de"	1269	"Farner Consulting AG"		2021-03-28		908	"Grunder"	"Michel"	"Sandro"		"Farner Consulting AG"		"Practice Head Public Affairs"		18		"M"	"de"					
"Fiala, Doris"	81	"NR"	"ZH"	"FDP"	"RL"	"Del D-V, SiK-NR"	2007-12-03		"F"	1957-01-29	3877	2680	"de"	"de"	1258	"Persönliche/r Mitarbeiter/in"		2021-01-29																			
"Fischer, Roland"	82	"NR"	"LU"	"GLP"	"GL"	"APK-NR, APK-NS 20-30, FK-NR, IK-NR"	2011-12-05		"M"	1965-04-05	4089	2794	"de"	"de"	1037	"Pink Cross"		2019-12-03		807	"Rudin"	"Michel"			"Pink Cross"		"Pink Cross"		67	2	"M"	"de"	"https://www.michelrudin.ch/"	"MichelRudin"	"https://www.linkedin.com/in/michel-rudin-a59740127/?originalSubdomain=ch"	"Michel_Rudin2"	"michelrudinglp"
"Fischer, Roland"	82	"NR"	"LU"	"GLP"	"GL"	"APK-NR, APK-NS 20-30, FK-NR, IK-NR"	2011-12-05		"M"	1965-04-05	4089	2794	"de"	"de"	1216	"Persönliche/r Mitarbeiter/in"		2020-05-03		899	"König"	"Tobias"			"Persönliche/r Mitarbeiter/in"		"Politischer Sekretär und Wahlkampfleiter glp Stadt Luzern"	"Secrétaire politique et chef de campagne glp Ville de Lucerne"	20	2	"M"	"de"		"Koenig_Tobias"	"https://www.linkedin.com/in/tobias-k%C3%B6nig-946521123/"	"Tobias_Koenig61/cv"	"tobias.konig.923"
"Fivaz, Fabien"	395	"NR"	"NE"	"Grüne"	"G"	"SiK-NR, WBK-NR"	2019-10-20		"M"	1978-02-25	4260	3152	"fr"	"fr"																							
"Flach, Beat"	83	"NR"	"AG"	"GLP"	"GL"	"BeK-V, RK-NR, SiK-NR"	2011-12-05		"M"	1965-01-21	4059	2765	"de"	"de"	943	"interpharma iph"		2019-07-12		728	"Weidmann"	"Yves"	"Samuel"		"interpharma iph"		"Leiter Governmental Affairs und Mitglied der Geschäftsleitung bei Interpharma"	"chef des affaires gouvernementales et membre du conseil d'administration Interpharma"	1		"M"	"de"		"yweidmann"	"https://www.linkedin.com/in/yves-weidmann-45067314a/?originalSubdomain=ch"		
"Flach, Beat"	83	"NR"	"AG"	"GLP"	"GL"	"BeK-V, RK-NR, SiK-NR"	2011-12-05		"M"	1965-01-21	4059	2765	"de"	"de"	1249	"Persönliche/r Mitarbeiter/in"		2020-11-14																			
"Fluri, Kurt"	85	"NR"	"SO"	"FDP"	"RL"	"KVF-NR, SPK-NR"	2003-12-01		"M"	1955-08-19	1122	2594	"de"	"de"	276	"Verband der Schweizerischen Gasindustrie (VSG)"				284	"Schmid"	"Michael"					"Leiter Public Affairs im Verband der Schweizerischen Gasindustrie"	"Responsable des affaires publiques Société Coopérative Association Suisse de l'Industrie Gazière"	46	1	"M"	"de"			"https://www.linkedin.com/in/michael-schmid-0a4230128/"		
"Français, Olivier"	86	"SR"	"VD"	"FDP"	"RL"	"Del F-V, ERD-V, FK-SR, KVF-SR, SiK-SR"	2007-12-03		"M"	1955-10-01	3879	2682	"fr"	"fr"	648	"Fédération vaudoise des entrepreneurs (FVE)"		2015-12-15		550	"Zünd"	"Georges"					"Direktor"	"Directeur"	51	1	"M"	"fr"			"https://www.linkedin.com/in/georges-z%C3%BCnd-a98936138/"		"profile.php?id=100010453321576"
"Français, Olivier"	86	"SR"	"VD"	"FDP"	"RL"	"Del F-V, ERD-V, FK-SR, KVF-SR, SiK-SR"	2007-12-03		"M"	1955-10-01	3879	2682	"fr"	"fr"	1207	"Collaborateur(rice) personnel(le)"		2020-03-06		891	"Waldmann"	"Paul"	"Robert"		"Collaborateur(rice) personnel(le)"		"Persönlicher Mitarbeiter NR Olivier Français"	"Collaborateur personnel CN Olivier Français"	35		"M"	"de"		"paul_waldmann"	"https://www.linkedin.com/in/paulwaldmann"		
"Fridez, Pierre-Alain"	88	"NR"	"JU"	"SP"	"S"	"APF-V, Bü-NR, ERD-V, NATO-V, SiK-NR"	2011-12-05		"M"	1957-11-20	4074	2778	"fr"	"fr"	1087	"Médecins de famille suisse"		2019-12-05		117	"Wiesli"	"Reto"			"Médecins de famille Suisse"	"Secrétaire général de Médecins de famille Suisse, mais aussi enseignant et actif dans POLSAN"	"Geschäftsführer Haus- und Kinderärtze Schweiz, Unternehmensinhaber Polsan AG"	"Directeur médecins de famille et de l'enfance Suisse, Propriétaire Polsan AG"	4		"M"	"de"	"http://www.polsan.ch/index.php?page=271"	"RetoWiesli"	"https://www.linkedin.com/pub/reto-wiesli/39/527/5ab"	"/Reto_Wiesli"	"/reto.wiesli.7"
"Friedl, Claudia"	89	"NR"	"SG"	"SP"	"S"	"APK-NR, Del A-V, Del FL-V, FK-NR, OSZE"	2013-03-04		"F"	1960-07-19	4131	3035	"de"	"de"	977	"Alliance Sud"		2019-12-02		753	"Lanz"	"Kristina"			"Alliance Sud"		"Politikwissenschaftlerin"		68		"F"	"de"			"https://www.linkedin.com/in/kristina-lanz-5510b8103/?originalSubdomain=ch"		
"Friedl, Claudia"	89	"NR"	"SG"	"SP"	"S"	"APK-NR, Del A-V, Del FL-V, FK-NR, OSZE"	2013-03-04		"F"	1960-07-19	4131	3035	"de"	"de"	1039	"Casafair Schweiz"		2019-12-03		808	"Steiner"	"Kathy"			"Casafair Schweiz"		"Geschäftsleiterin Casafair"	"Directrice Casafair"	19	4	"F"	"de"	"https://casafair.ch/portrait/zentralsekretariat/"				"kathy.steiner.144"
"Friedli, Esther"	356	"NR"	"SG"	"SVP"	"V"	"WAK-NR"	2019-12-01		"F"	1977-06-04	4261	3153	"de"	"de"	1141	"Persönliche/r Mitarbeiter/in"		2020-02-09		855	"Cerantola"	"Marcia"			"Persönliche/r Mitarbeiter/in"		"Selbständige Direktionsassistentin Vorzimmer GmbH"		74		"F"	"de"	"http://www.vorzimmer.biz/Ueber-mich/"		"https://www.linkedin.com/in/marcia-cerantola-jenni-041ab5112/"		"marcia.cerantola"
"Funiciello, Tamara"	347	"NR"	"BE"	"SP"	"S"	"RK-NR"	2019-12-01		"F"	1990-03-20	4262	3154	"de"	"de"	1142	"LOS - Lesbenorganisation Schweiz"		2020-02-09		856	"Waeger"	"Muriel"			"LOS - Lesbenorganisation Schweiz"		"Direktorin Westschweiz bei der Schweizerischen Lesbenorganisation LOS"	"Directrice Romande Organisation suisse des lesbiennes ""LOS"""	67	3	"F"	"fr"	"https://www.los.ch/team"				"mumu.waeger"
"Funiciello, Tamara"	347	"NR"	"BE"	"SP"	"S"	"RK-NR"	2019-12-01		"F"	1990-03-20	4262	3154	"de"	"de"	1143	"Fachstelle Migration Refbejuso"		2020-02-09		857	"Schmidt"	"Carsten"			"Fachstelle Migration Refbejuso"		"Leiter Fachstelle Migration Reformierte Kirchen Bern-Jura-Solothurn"		103		"M"	"de"	"http://www.refbejuso.ch/strukturen/oeme-migration/team/fachstelle-migration/"	"carstenschmidt2"	"https://www.linkedin.com/in/carsten-schmidt-6b7967185/?originalSubdomain=ch"		
"Gafner, Andreas"	376	"NR"	"BE"	"EDU"	"V"	"WBK-NR"	2019-12-01		"M"	1971-03-31	4263	3155	"de"	"de"	1088	"Persönliche/r Mitarbeiter/in"		2019-12-05		834	"Steinmann"	"Sonja"			"Persönliche/r Mitarbeiter/in"		"Sekretärin EDU Kanton Bern"		20		"F"	"de"					"sonja.steinmann.50"
"Gapany, Johanna"	381	"SR"	"FR"	"FDP"	"RL"	"FK-SR, IPU, SGK-SR, WBK-SR"	2019-10-20		"F"	1988-07-25	4306	3183	"fr"	"fr"																							
"Geissbühler, Andrea Martina"	93	"NR"	"BE"	"SVP"	"V"	"RK-NR"	2007-12-03		"F"	1976-08-03	3880	2683	"de"	"de"	713	"Gast"				584	"Geissbühler"	"Michael"			"Ehemann von Andrea Geissbühler"		"Maler"		52		"M"	"de"	"http://www.mgmalereigmbh.ch/"				
"Geissbühler, Andrea Martina"	93	"NR"	"BE"	"SVP"	"V"	"RK-NR"	2007-12-03		"F"	1976-08-03	3880	2683	"de"	"de"	801	"Verband Schweizerischer Polizei-Beamter"		2017-04-10		640	"Bundi Ryser"	"Johanna"	"Johanna"				"Präsidentin Verband Schweizerischer Polizeibeamter"	"Présidente de la Fédération Suisse des Fonctionnaires de Police"	105	5	"F"	"de"	"http://www.vspb.org"		"https://www.linkedin.com/in/johanna-bundi-ryser-6118111b0/"		
"Germann, Hannes"	227	"SR"	"SH"	"SVP"	"V"	"EFTA/EU, ERD-V, GK-V, SGK-SR, WAK-SR, WBK-SR"	2002-09-16		"M"	1956-07-01	825	2575	"de"	"de"	116	"Hotz Communications AG"				123	"Hotz Schläpfer"	"Renate"			"Inhaberin Renate Hotz Communications AG"		"Public Affairs Beraterin"	"Conseillère en affaires publiques"	18		"F"	"de"	"http://www.opusone.ch/bern.htm"		"ch.linkedin.com/pub/renate-hotz/91/271/333"		"renate.hotz.7"
"Germann, Hannes"	227	"SR"	"SH"	"SVP"	"V"	"EFTA/EU, ERD-V, GK-V, SGK-SR, WAK-SR, WBK-SR"	2002-09-16		"M"	1956-07-01	825	2575	"de"	"de"	395	"Krauthammer & Partner"				404	"Krauthammer"	"Pascal"					"Geschäftsführer Krauthammer & Partner"	"Directeur Krauthammer & Partner"	18		"M"	"de"	"https://krauthammer-partner.ch/agentur/"	"KrauthammerP"	"https://www.linkedin.com/in/pascalkrauthammer/"		
"Giacometti, Anna"	374	"NR"	"GR"	"FDP"	"RL"	"APK-NR, Del I-V, RedK-V"	2019-10-20		"F"	1961-09-08	4265	3157	"it"	"de"	1112	"Ospite"		2019-12-11		841	"Della Vedova"	"Alessandro"			"Ospite"		"Geschäftsleiter Caritas Graubünden"	"Directeur Caritas Grisons"	25	22	"M"	"de"	"http://alessandrodellavedova.ch/"	"AdVedova"			"dellavedovalessandro"
"Giacometti, Anna"	374	"NR"	"GR"	"FDP"	"RL"	"APK-NR, Del I-V, RedK-V"	2019-10-20		"F"	1961-09-08	4265	3157	"it"	"de"	1237	"Schweizerischer Gehörlosenbund SGB-FSS"		2020-09-09		919	"Marty"	"André"			"Schweizerischer Gehörlosenbund SGB-FSS"		"Verantwortlicher Public Affairs"	"Responsable des affaires publiques"	47		"M"	"de"		"andre_marty_"	"https://www.linkedin.com/in/andre-marty/"		
"Giezendanner, Benjamin"	360	"NR"	"AG"	"SVP"	"V"	"KVF-NR"	2019-12-01		"M"	1982-04-22	4266	3158	"de"	"de"																							
"Girod, Bastien"	96	"NR"	"ZH"	"Grüne"	"G"	"UREK-NR"	2007-12-03		"M"	1980-12-21	3882	2685	"de"	"de"	1089	"WWF Schweiz"		2019-12-05		125	"Hofstetter"	"Patrick"			"Leiter Klima & Energie, WWF Schweiz"		"PhD Umweltnaturwissenschaften (ETH Zürich)"		54		"M"						
"Girod, Bastien"	96	"NR"	"ZH"	"Grüne"	"G"	"UREK-NR"	2007-12-03		"M"	1980-12-21	3882	2685	"de"	"de"	1090	"VBSA"		2019-12-05		687	"Quartier"	"Robin"					"Geschäftsführer VBSA"	"Directeur ASED"	126		"M"	"fr"	"http://vbsa.ch/"		"https://www.linkedin.com/in/robin-quartier-40845b5/"		
"Glanzmann-Hunkeler, Ida"	97	"NR"	"LU"	"M"	"M-E"	"NATO-V, OSZE, SiK-NR"	2006-09-18		"F"	1958-09-29	1337	2657	"de"	"de"	119	"Gast"				126	"Glanzmann"	"Jonas"			"Gast"	"Invité"	"Leiter Internationales Pricing SBB CFF FFS"	"Responsable de la tarification internationale SBB CFF FFS"	33	22	"M"	"de"				"Jonas_Glanzmann"	"jonas.glanzmann"
